trial_id,stage_num,rep_num,trial_num,chat_prompt,model_logprobs,target
1585,1,1,1,"[{'role': 'user', 'content': ""describer: hi\nmatcher: hello\ndescriber: looking for a diamond at the top, triangle pointing towards the left\ndescriber: close to a person praying on their knees\nmatcher: is there a triangle pointing right as well?\ndescriber: there's a triangle on the right also. just below the diamond and to the right\ndescriber: could also be seen as a mouse in silhouette\nmatcher: anything happening at the bottom?\ndescriber: like a mountain - we've got 72 of these to get through\nmatcher: 72? oops.\n""}]","{'K': -1.27580726146698, 'L': -1.90080726146698, 'G': -2.1508073806762695, 'J': -2.1508073806762695, 'H': -2.4008073806762695, 'F': -2.7758071422576904, 'C': -3.1508073806762695, 'I': -3.2758073806762695, 'B': -3.4008073806762695, 'D': -3.6508073806762695, 'A': -3.9008073806762695, 'E': -3.9008073806762695}",B
1586,1,1,2,"[{'role': 'user', 'content': 'describer: awesome. this one looks like a seal\n'}]","{'F': -1.5337775945663452, 'E': -1.6587775945663452, 'B': -2.0337774753570557, 'L': -2.2837774753570557, 'H': -2.4087777137756348, 'G': -2.7837774753570557, 'C': -3.0337777137756348, 'J': -3.2837777137756348, 'D': -3.4087774753570557, 'I': -3.4087774753570557, 'A': -3.5337777137756348, 'K': -3.7837777137756348}",G
1587,1,1,3,"[{'role': 'user', 'content': 'describer: this one looks like a small dog balancing a ball on its nose\n'}]","{'G': -0.9064154028892517, 'L': -2.0314152240753174, 'K': -2.1564154624938965, 'F': -2.5314154624938965, 'H': -2.5314154624938965, 'C': -2.7814152240753174, 'B': -3.5314154624938965, 'J': -3.6564154624938965, 'E': -4.0314154624938965, 'I': -4.0314154624938965, 'A': -4.1564154624938965, 'D': -4.1564154624938965}",K
1588,1,1,4,"[{'role': 'user', 'content': 'describer: this looks like one of the spy vs spy guys looking down and walking with a flag on his right shoulder.\n'}]","{'D': -1.7244610786437988, 'A': -1.8494611978530884, 'B': -2.099461078643799, 'C': -2.224461078643799, 'L': -2.349461078643799, 'H': -2.474461078643799, 'K': -2.849461078643799, 'F': -2.974461078643799, 'I': -3.099461078643799, 'G': -3.349461317062378, 'J': -3.474461317062378, 'E': -3.599461078643799}",A
1589,1,1,5,"[{'role': 'user', 'content': 'describer: nice. this is a diamond on top of what looks like a state - top of state is a straight line\n'}]","{'J': -1.485226035118103, 'K': -1.6102261543273926, 'L': -1.860226035118103, 'H': -1.985226035118103, 'F': -2.8602261543273926, 'G': -2.9852261543273926, 'D': -3.1102261543273926, 'C': -3.3602259159088135, 'I': -3.4852261543273926, 'B': -3.6102261543273926, 'A': -3.8602261543273926, 'E': -4.610226154327393}",J
1590,1,1,6,"[{'role': 'user', 'content': 'describer: ok, could be a bow or bunny ears in profile on top of a lightning bolt\n'}]","{'B': -2.052990674972534, 'K': -2.052990674972534, 'L': -2.052990674972534, 'H': -2.302990674972534, 'C': -2.427990674972534, 'G': -2.677990674972534, 'I': -2.677990674972534, 'D': -2.802990674972534, 'J': -2.802990674972534, 'A': -2.927990674972534, 'E': -2.927990674972534, 'F': -2.927990674972534}",E
1591,1,1,7,"[{'role': 'user', 'content': 'describer: the other possible diamond/state combo. state looks like indiana\n'}]","{'L': -1.604030728340149, 'K': -1.8540306091308594, 'H': -2.1040306091308594, 'G': -2.3540306091308594, 'C': -2.4790306091308594, 'J': -2.6040306091308594, 'F': -2.7290306091308594, 'D': -2.8540306091308594, 'B': -2.9790306091308594, 'I': -3.3540308475494385, 'A': -3.4790306091308594, 'E': -3.8540306091308594}",H
1592,1,1,8,"[{'role': 'user', 'content': 'describer: person ice skating with leg out and arms out in front\n'}]","{'A': -0.9841099381446838, 'I': -1.984109878540039, 'B': -2.109109878540039, 'C': -2.234109878540039, 'D': -3.109109878540039, 'L': -3.109109878540039, 'E': -3.234110116958618, 'G': -3.234110116958618, 'F': -3.359110116958618, 'K': -3.609109878540039, 'H': -4.109109878540039, 'J': -4.734109878540039}",I
1593,1,1,9,"[{'role': 'user', 'content': 'describer: preacher with hands up in air\ndescriber: air\n'}]","{'C': -1.7716240882873535, 'K': -1.8966240882873535, 'L': -1.8966240882873535, 'D': -2.5216240882873535, 'G': -2.5216240882873535, 'F': -2.6466240882873535, 'H': -2.6466240882873535, 'A': -2.7716238498687744, 'B': -2.8966240882873535, 'I': -3.0216240882873535, 'E': -3.6466240882873535, 'J': -3.6466240882873535}",C
1594,1,1,10,"[{'role': 'user', 'content': 'describer: graduate giving speech at lectern, in profile\nmatcher: pointing a direction?\ndescriber: the lectern is pointing to the left\n'}]","{'D': -1.8849010467529297, 'H': -2.0099010467529297, 'L': -2.0099010467529297, 'J': -2.2599010467529297, 'C': -2.3849010467529297, 'K': -2.5099010467529297, 'A': -2.6349008083343506, 'F': -2.7599010467529297, 'B': -2.8849008083343506, 'I': -3.1349010467529297, 'G': -3.2599010467529297, 'E': -3.7599010467529297}",D
1595,1,1,11,"[{'role': 'user', 'content': 'describer: looks like shadow of a person on their knees facing right\ndescriber: bottom half makes lightning bolt\n'}]","{'F': -0.2987164258956909, 'G': -2.7987165451049805, 'E': -2.9237163066864014, 'B': -3.1737163066864014, 'L': -3.4237163066864014, 'C': -3.9237165451049805, 'H': -4.2987165451049805, 'I': -4.5487165451049805, 'A': -4.7987165451049805, 'D': -5.0487165451049805, 'K': -5.4237165451049805, 'J': -5.5487165451049805}",L
1596,1,1,12,"[{'role': 'user', 'content': 'describer: same graduate sitting down with knees up and feet on ground. facing left\ndescriber: looking down at feet\n'}]","{'F': -0.12336914986371994, 'B': -3.6233692169189453, 'L': -3.8733692169189453, 'E': -3.9983692169189453, 'G': -3.9983692169189453, 'C': -4.873369216918945, 'D': -5.373369216918945, 'H': -5.373369216918945, 'J': -5.498369216918945, 'A': -5.623369216918945, 'I': -5.623369216918945, 'K': -6.373369216918945}",F
1597,1,2,13,"[{'role': 'user', 'content': 'describer: first diamond on top of state shape again\ndescriber: straight line on top\n'}]","{'J': -1.5698953866958618, 'K': -1.6948953866958618, 'L': -1.6948953866958618, 'H': -1.8198953866958618, 'F': -2.8198952674865723, 'D': -3.0698952674865723, 'G': -3.3198955059051514, 'I': -3.3198955059051514, 'C': -3.5698952674865723, 'A': -3.8198955059051514, 'B': -3.9448955059051514, 'E': -4.694895267486572}",J
1598,1,2,14,"[{'role': 'user', 'content': 'describer: graduate sitting and looking down from 2 questions ago\n'}]","{'F': -0.49365824460983276, 'L': -2.3686583042144775, 'G': -2.7436583042144775, 'H': -3.1186583042144775, 'B': -3.2436583042144775, 'J': -3.6186583042144775, 'K': -3.6186583042144775, 'E': -3.7436583042144775, 'C': -3.8686583042144775, 'I': -3.9936583042144775, 'D': -4.118658542633057, 'A': -4.493658065795898}",F
1599,1,2,15,"[{'role': 'user', 'content': 'describer: spy vs spy\n'}]","{'A': -1.6252071857452393, 'B': -2.0002071857452393, 'C': -2.2502071857452393, 'D': -2.3752071857452393, 'L': -2.5002071857452393, 'I': -2.62520694732666, 'H': -2.7502071857452393, 'F': -2.8752071857452393, 'G': -2.8752071857452393, 'E': -3.0002071857452393, 'K': -3.0002071857452393, 'J': -3.6252071857452393}",A
