trialNum,repNum,gameId,tangram,playerId,role,numPlayers,text,condition,realCorrect,targetNum,activePlayerCount,spans,span_offsets,raw_spans
54,4,GWCD2NGoiA2n5Wh2i,K,3J4RLFqgNJW7BsT9G,listener,6,Kneeling man right side,6_thick,5,6,6,"[{""span"": ""kneeling man"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}, {""span"": ""right side"", ""literal_metaphor"": ""literal"", ""part_holistic"": ""part_based""}]","[[-1, -1], [13, 23]]","""kneeling man"" METAPHOR HOLISTIC  
""right side"" LITERAL PART"
54,4,GWCD2NGoiA2n5Wh2i,K,Z6TmKzSh7SAQns8Sg,speaker,6,double diamond this time,6_thick,5,6,6,"[{""span"":""double diamond"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""}]","[[0,14]]","""double diamond"" LITERAL HOLISTIC"
45,3,zviCQXNM4xWoYTmoY,A,Q5Bs5Daz3vBi66sSW,speaker,6,lifting foot up holding cloth,no_rotate,5,9,NA,"[{""span"":""lifting foot up"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""holding cloth"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[0,15],[16,29]]","lifting foot LITERAL PART
foot up LITERAL PART
holding cloth LITERAL PART"
42,3,x8BXJBHh3RxchPoHv,K,APorxfw5ZESs4jLDh,speaker,5,"kneeling, arms up to the right, feet up",5_rotate,4,6,NA,"[{""span"":""kneeling"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""},{""span"":""arms up to the right"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""feet up"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""}]","[[0,8],[10,30],[32,39]]","""kneeling"" METAPHOR PART
""arms up to the right"" LITERAL PART
""feet up"" LITERAL PART"
42,3,x8BXJBHh3RxchPoHv,K,po2Kc9pGb6B3wwFAh,listener,5,i think this one looks like it is praying maybe,5_rotate,4,6,NA,"[{""span"":""praying"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[34,41]]","""looks like it"" METAPHOR HOLISTIC  
""is"" (not labeled, too short/function word)  
""praying"" METAPHOR HOLISTIC  
""maybe"" (not labeled, too short/function word)"
66,5,rSMFkjhskBteiyQMB,L,ZvhRyXkvKz6ES5HwX,speaker,4,bent knee speaker,4_rotate,3,6,NA,"[{""span"":""bent knee"",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""speaker"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[0,9],[10,17]]","""bent knee"" METAPHOR PART  
""speaker"" LITERAL PART"
69,5,x8BXJBHh3RxchPoHv,A,po2Kc9pGb6B3wwFAh,speaker,5,dangling,5_rotate,4,9,NA,"[{""span"":""dangling"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[0,8]]","""dangling"" METAPHOR PART"
44,3,Z2WAkYpWiXwuGcdME,I,R3cRgh4HmEtRsmQyp,speaker,2,karate,2_thick,1,8,2,"[{""span"": ""karate"", ""literal_metaphor"": ""metaphorical"", ""part_holistic"": ""holistic""}]","[[0, 6]]","""karate"" METAPHOR HOLISTIC"
3,0,LzNv7CD7gRuxpk7cQ,J,ePuHpSEgEgZdLy5Hp,speaker,3,body is completely square on the left,3_rotate,2,3,NA,"[{""span"":""body "",""literal_metaphor"":""metaphorical"",""part_holistic"":""part_based""},{""span"":""completely square on the left"",""literal_metaphor"":""literal"",""part_holistic"":""part_based""}]","[[0,5],[8,37]]","""body is completely square"" METAPHOR HOLISTIC  
""on the left"" LITERAL PART"
3,0,LzNv7CD7gRuxpk7cQ,J,MrNX5Si499ovSY845,listener,3,Are the facing right or left,3_rotate,2,3,NA,"[{""span"":""facing right or left"",""literal_metaphor"":""metaphorical"",""part_holistic"":""holistic""}]","[[8,28]]","""the facing"" METAPHOR HOLISTIC  
""right or left"" LITERAL PART"
